#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession	Reference	FTP Path	Pubmed ID	Strain
Mycobacterium avium subsp. hominissuis	439334	PRJNA345416	345416	Terrabacteria group	Actinomycetota	5.11824	69	chromosome:NZ_CP018019.1/CP018019.1	-	1	4826	4646	2022/02/10	2022/02/12	Complete Genome	Kobe Institute of Health	SAMN05862091	GCA_022175585.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/175/585/GCA_022175585.1_ASM2217558v1	-	OCU889s_P11_4s
Mycobacterium tuberculosis variant bovis	1765	PRJNA494982	494982	Terrabacteria group	Actinomycetota	4.41181	65.7	chromosome:NZ_CP039850.1/CP039850.1	-	1	4130	3853	2019/05/06	2022/02/07	Complete Genome	Academia Sinica	SAMN10219708	GCA_005156105.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/156/105/GCF_005156105.1_ASM515610v1	-	Danish 1331
Mycobacterium tuberculosis H37Rv	83332	PRJNA224	224	Terrabacteria group	Actinomycetota	4.41153	65.6	chromosome:NC_000962.3/AL123456.3	-	1	4008	3906	2001/09/07	2017/12/14	Complete Genome	Sanger Institute	SAMEA3138326	GCA_000195955.2	REFR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/955/GCA_000195955.2_ASM19595v2	9634230,12368430,20980199	H37Rv
Mycobacterium ulcerans	1809	PRJNA771185	771185	Terrabacteria group	Actinomycetota	5.78933	65.4245	chromosome:NZ_CP085200.1/CP085200.1; plasmid pMUM004:NZ_CP085201.1/CP085201.1	-	2	5211	4265	2021/10/26	2022/05/21	Complete Genome	University of Melbourne	SAMN22253492	GCA_020616615.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/616/615/GCA_020616615.1_ASM2061661v1	-	JKD8049
Mycobacterium marinum E11	1131442	PRJEB5070	248803	Terrabacteria group	Actinomycetota	6.45052	65.7699	chromosome 1:NZ_HG917972.2/HG917972.2; plasmid pRAW:NZ_HG917973.1/HG917973.1	-	2	5427	5189	2014/05/27	2022/03/26	Complete Genome	King Abdullah University of Science and Technology	SAMEA3139029	GCA_000723425.2	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/723/425/GCA_000723425.2_E11	-	E11
Mycobacterium leprae	1769	PRJNA470766	470766	Terrabacteria group	Actinomycetota	3.18711	57.8	chromosome:NZ_CP029543.1/CP029543.1	-	1	2913	2221	2018/06/18	2022/02/23	Complete Genome	National JALMA Institute for Leprosy and Other Mycobacterial Diseases	SAMN09104579	GCA_003253775.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/253/775/GCF_003253775.1_ASM325377v1	-	MRHRU-235-G
Mycobacterium liflandii	261524	PRJNA400353	400353	Terrabacteria group	Actinomycetota	6.1673	65.6	chromosome:CP023138.1	-	1	5569	4518	2022/02/22	2022/02/22	Complete Genome	Yangtze River Fisheries Research Institute	SAMN07566685	GCA_022354805.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/354/805/GCA_022354805.1_ASM2235480v1	-	ASM001
Mycobacterium intracellulare	1767	PRJNA231221	231221	Terrabacteria group	Actinomycetota	5.64578	67.8887	chromosome:NZ_CP085945.1/CP085945.1; plasmid unnamed:NZ_CP085946.1/CP085946.1	-	2	5297	5154	2021/11/03	2021/11/05	Complete Genome	US Food and Drug Administration 	SAMN22091661	GCA_020736005.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/736/005/GCA_020736005.1_ASM2073600v1	-	FDAARGOS_1564
Mycobacterium kansasii ATCC 12478	557599	PRJNA30907	30907	Terrabacteria group	Actinomycetota	6.57723	66.1912	chromosome:NC_022663.1/CP006835.1; plasmid pMK12478:NC_022654.1/CP006836.1	-	2	5809	5444	2013/11/01	2022/04/14	Complete Genome	McGill University	SAMN02603596	GCA_000157895.2	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/157/895/GCA_000157895.2_ASM15789v2	-	ATCC 12478
Mycobacterium parascrofulaceum ATCC BAA-614	525368	PRJNA31521	31521	Terrabacteria group	Actinomycetota	6.56417	67.6	-	ADNV01	124	6215	5811	2010/05/10	2022/04/11	Scaffold	Baylor College of Medicine	SAMN00189881	GCA_000164135.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/135/GCA_000164135.1_ASM16413v1	-	ATCC BAA-614
Mycobacterium colombiense CECT 3035	1041522	PRJNA67689	67689	Terrabacteria group	Actinomycetota	5.57956	68.1	-	AFVW02	17	5314	5181	2011/07/29	2022/02/16	Contig	Universidad Nacional de Colombia	SAMN00622208	GCA_000222105.4	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/222/105/GCA_000222105.4_ASM22210v4	21952541	CECT 3035
Mycobacterium tuberculosis variant africanum GM041182	572418	PRJEA68095	68095	Terrabacteria group	Actinomycetota	4.38931	65.6	chromosome:NC_015758.1/FR878060.1	-	1	4107	3851	2011/07/05	2022/06/05	Complete Genome	Wellcome Trust Sanger Insititute	SAMEA2272165	GCA_000253355.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/355/GCA_000253355.1_ASM25335v1	22389744	GM041182
Mycobacterium canettii CIPT 140010059	1048245	PRJEA68135	68135	Terrabacteria group	Actinomycetota	4.48206	65.6	chromosome:NC_015848.1/HE572590.1	-	1	4188	3919	2011/07/14	2021/12/21	Complete Genome	Wellcome Trust Sanger Insititute	SAMEA2272660	GCA_000253375.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/375/GCA_000253375.1_ASM25337v1	22389744,23291586	CIPT 140010059
Mycobacterium tuberculosis variant microti OV254	1427372	PRJEB40500	686555	Terrabacteria group	Actinomycetota	4.36991	65.6	chromosome MmicOV254:NZ_LR882499.1/LR882499.1	-	1	4099	3816	2021/01/25	2022/06/23	Complete Genome	Institut Pasteur	SAMEA7336314	GCA_904810325.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/904/810/325/GCA_904810325.1_MmicOV254	-	OV254
Mycobacterium intracellulare subsp. intracellulare	35617	PRJNA231221	231221	Terrabacteria group	Actinomycetota	5.41267	68.1	chromosome:NZ_CP089222.1/CP089222.1	-	1	5083	4951	2021/12/14	2021/12/29	Complete Genome	US Food and Drug Administration 	SAMN23242879	GCA_021183785.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/183/785/GCA_021183785.1_ASM2118378v1	-	FDAARGOS_1610
Mycobacterium pseudoshottsii JCM 15466	1136880	PRJDB6390	415742	Terrabacteria group	Actinomycetota	6.0616	65.6	chromosome:NZ_AP018410.1/AP018410.1	-	1	5414	4758	2017/10/24	2021/12/16	Complete Genome	National Institute of Infectious Diseases	SAMD00096819	GCA_003584745.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/584/745/GCF_003584745.1_ASM358474v1	-	JCM 15466
Mycobacterium haemophilum DSM 44634	1202450	PRJNA171821	171821	Terrabacteria group	Actinomycetota	4.23576	63.9	chromosome:NZ_CP011883.2/CP011883.2	-	1	4045	3731	2015/06/23	2022/10/09	Complete Genome	Albert Einstein College of Medicine	SAMN01918491	GCA_000340435.3	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/435/GCA_000340435.3_ASM34043v3	-	ATCC 29548
Mycobacterium xenopi	1789	PRJEB6403	251923	Terrabacteria group	Actinomycetota	5.25194	65.9	-	UATA01	21	5102	4805	2018/06/16	2022/04/14	Contig	Wellcome Sanger Institute	SAMEA101170168	GCA_900453395.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/453/395/GCA_900453395.1_53750_B01	-	NCTC10042
Mycobacterium sp. EPa45	1545728	PRJNA285733	285733	Terrabacteria group	Actinomycetota	6.17741	66.4	chromosome:NZ_CP011773.1/CP011773.1	-	1	5926	5780	2015/06/08	2022/07/29	Complete Genome	Tohoku University	SAMN03758429	GCA_001021385.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/385/GCF_001021385.1_ASM102138v1	26184940	EPa45
Mycobacterium simiae	1784	PRJDB7717	594871	Terrabacteria group	Actinomycetota	5.78899	66.2	chromosome:NZ_AP022568.1/AP022568.1	-	1	5425	5230	2020/02/06	2021/12/16	Complete Genome	Department of Infection Metagenomics, Osaka University	SAMD00153175	GCA_010727605.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/727/605/GCA_010727605.1_ASM1072760v1	31287781	JCM 12377
Mycobacterium bohemicum	56425	PRJNA299467	299467	Terrabacteria group	Actinomycetota	5.42052	69.2	-	LQOK01	52	5091	4870	2017/04/20	2022/04/19	Contig	University of Trento	SAMN04216914	GCA_002102025.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/025/GCF_002102025.1_ASM210202v1	-	DSM 44277
Mycobacterium asiaticum DSM 44297	1265310	PRJNA354248	354248	Terrabacteria group	Actinomycetota	5.96954	66.4	-	MVHI01	135	5627	5419	2017/04/11	2022/04/14	Contig	San Raffaele Scientific Institute	SAMN06064231	GCA_002086545.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/545/GCF_002086545.1_ASM208654v1	-	DSM 44297
Mycobacterium arosiense ATCC BAA-1401 = DSM 45069	1265311	PRJNA354248	354248	Terrabacteria group	Actinomycetota	5.98021	66.8	-	MVHG01	465	5813	5474	2017/04/11	2022/04/19	Contig	San Raffaele Scientific Institute	SAMN06064229	GCA_002086125.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/125/GCF_002086125.1_ASM208612v1	-	DSM 45069
Mycobacterium tuberculosis variant caprae	115862	PRJNA326075	326075	Terrabacteria group	Actinomycetota	4.32496	65.6	chromosome:NZ_CP016401.1/CP016401.1	-	1	4052	3758	2017/01/10	2022/01/24	Chromosome	Ludwig-Maximilians-University	SAMN05257278	GCA_001941665.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/665/GCF_001941665.1_ASM194166v1	-	Allgaeu
Mycobacterium celatum	28045	PRJNA354248	354248	Terrabacteria group	Actinomycetota	4.77353	66.9	-	PDKV01	81	4704	4484	2017/11/02	2022/02/16	Contig	San Raffaele Scientific Institute	SAMN07733418	GCA_002742165.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/742/165/GCF_002742165.1_ASM274216v1	29030295	NCTC 12882
Mycobacterium intracellulare subsp. yongonense 05-1390	1138871	PRJNA82265	82265	Terrabacteria group	Actinomycetota	5.66209	67.9502	chromosome:NC_021715.1/CP003347.1; plasmid pMyong1:NC_020275.1/JQ657805.1; plasmid pMyong2:NC_020276.1/JQ657806.1	-	3	5333	5132	2013/07/08	2022/01/29	Complete Genome	Department of Microbiology and Immunology, Seoul National University	SAMN02603187	GCA_000418535.2	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/418/535/GCA_000418535.2_ASM41853v2	23929490	05-1390
Mycobacterium orygis	1305738	PRJNA672657	672657	Terrabacteria group	Actinomycetota	4.35214	65.6	chromosome:NZ_CP063804.1/CP063804.2	-	1	4085	3778	2020/11/06	2022/05/22	Complete Genome	Mc Gill University Health Centre	SAMN16564840	GCA_015265495.2	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/265/495/GCA_015265495.2_ASM1526549v2	-	MUHC/MB/EPTB/Orygis/51145
Mycobacterium gastri	1777	PRJNA299467	299467	Terrabacteria group	Actinomycetota	5.81666	66.2	-	LQOX01	154	5282	4838	2017/04/20	2022/04/10	Contig	University of Trento	SAMN04216928	GCA_002102175.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/175/GCF_002102175.1_ASM210217v1	-	DSM 43505
Mycobacterium genavense ATCC 51234	1408452	PRJNA223121	223121	Terrabacteria group	Actinomycetota	4.93607	66.9	-	JAGZ01	25	4862	3767	2014/01/14	2022/04/18	Contig	DOE Joint Genome Institute	SAMN02585006	GCA_000526915.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/915/GCA_000526915.1_ASM52691v1	-	ATCC 51234
Mycobacterium triplex	47839	PRJNA299467	299467	Terrabacteria group	Actinomycetota	6.36629	66.6	-	LQPY01	48	6025	5848	2017/04/20	2022/04/14	Contig	University of Trento	SAMN04216955	GCA_002102415.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/415/GCF_002102415.1_ASM210241v1	-	DSM 44626
Mycobacterium kyorinense	487514	PRJNA299270	299270	Terrabacteria group	Actinomycetota	5.35564	66.9	-	LLXQ01	126	5325	5047	2015/11/06	2022/02/09	Contig	FIOCRUZ	SAMN04196478	GCA_001439515.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/439/515/GCF_001439515.1_ASM143951v1	22518856	HF1629
Mycobacterium lepromatosis	480418	PRJNA281005	281005	Terrabacteria group	Actinomycetota	3.27169	57.9	chromosome:NZ_CP083405.1/CP083405.1	-	1	3075	2398	2021/09/13	2022/05/01	Complete Genome	The University of Texas MD Anderson Cancer Center	SAMN03481272	GCA_000975265.2	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/975/265/GCA_000975265.2_ASM97526v2	-	FJ924
Mycobacterium nebraskense	244292	PRJNA284996	284996	Terrabacteria group	Actinomycetota	6.53999	66.6	-	LDPP01	175	6217	5894	2015/06/08	2021/12/11	Scaffold	UCSF	SAMN03734848	GCA_001021495.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/495/GCF_001021495.1_ASM102149v1	-	AKUC2
Mycobacterium heckeshornense	110505	PRJDB10860	694061	Terrabacteria group	Actinomycetota	4.86511	65.9	chromosome:NZ_AP024310.1/AP024310.1	-	1	4662	4386	2021/01/22	2022/04/14	Complete Genome	Jichi Medical University	SAMD00261041	GCA_016861545.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/861/545/GCA_016861545.1_ASM1686154v1	34236235	JMUB5695
Mycolicibacterium neworleansense	146018	PRJEB9831	289474	Terrabacteria group	Actinomycetota	6.28732	66.8	-	CWKH01	9	6060	5874	2015/07/13	2022/01/23	Contig	Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS, Faculte de Medecine, Universite de la Mediterranee, Marseille, France	SAMEA3481574	GCA_001245615.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/245/615/GCF_001245615.1_Mycobacterium_neworleansense_assembly_1	-	ATCC 49404T
Mycobacterium intracellulare subsp. chimaera	222805	PRJNA314008	314008	Terrabacteria group	Actinomycetota	6.1336	67.7078	chromosome:NZ_CP015278.1/CP015278.1; plasmid unnamed 1:NZ_CP015279.1/CP015279.1; plasmid unnamed 2:NZ_CP015280.1/CP015280.1	-	3	5767	5521	2017/07/14	2021/12/21	Complete Genome	Leibniz Institute DSMZ	SAMN01174703	GCA_002219285.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/219/285/GCF_002219285.1_ASM221928v1	28711585	DSM 44623
Mycobacterium lentiflavum	141349	PRJEB8430	275401	Terrabacteria group	Actinomycetota	6.81851	65.8	-	CTEE01	5	6376	6108	2015/03/25	2022/04/14	Contig	Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS, Faculte de Medecine, Universite de la Mediterranee, Marseille, France	SAMEA3305053	GCA_001373395.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/373/395/GCF_001373395.1_PRJEB8430_assembly_1	-	CSUR P1491
Mycobacterium europaeum	761804	PRJEB8464	275403	Terrabacteria group	Actinomycetota	6.15252	68.2	-	CTEC01	13	5910	5643	2015/03/25	2022/04/11	Contig	Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS, Faculte de Medecine, Universite de la Mediterranee, Marseille, France	SAMEA3305049	GCA_001373515.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/373/515/GCF_001373515.1_PRJEB8464_assembly_1	-	CSUR P1344
Mycobacterium gordonae	1778	PRJNA299467	299467	Terrabacteria group	Actinomycetota	7.60163	66.6	-	LQOY01	260	6969	6534	2017/04/20	2022/04/14	Contig	University of Trento	SAMN04216929	GCA_002101675.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/101/675/GCF_002101675.1_ASM210167v1	-	DSM 44160
Mycobacterium interjectum	33895	PRJEB13236	317077	Terrabacteria group	Actinomycetota	5.92924	67.6	-	FJVQ01	30	6021	5175	2016/04/01	2022/01/26	Scaffold	Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS, Faculte de Medecine, Universite de la Mediterranee, Marseille, France	SAMEA3913390	GCA_900078675.2	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/078/675/GCA_900078675.2_PRJEB13236	-	ATCC 51457T
Mycobacterium mungi	1844474	PRJNA320514	320514	Terrabacteria group	Actinomycetota	4.34852	65.5	-	LXTB01	110	4197	3858	2016/05/26	2021/12/16	Contig	USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories - DBL	SAMN04942516	GCA_001652545.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/652/545/GCF_001652545.1_ASM165254v1	-	BM22813
